Anime,Recommendation,Agree Votes
10020,15841,0
10020,10976,0
10020,8856,0
10020,9788,0
10020,4648,0
10022,434,0
10022,16575,0
10022,1244,0
10022,531,0
10022,14638,0
10022,9548,0
10022,11573,0
10022,5869,0
10022,3440,0
10022,5438,0
10023,11022,3
10023,7867,2
10023,3747,0
10023,3631,0
10023,10674,0
10023,8081,0
10023,3283,0
10023,686,0
10023,1887,0
10023,875,0
10024,596,0
10024,608,0
10024,609,0
10024,13043,0
10024,7726,0
10024,3083,0
10024,2091,0
10024,8859,0
10024,11727,0
10024,2153,0
10025,6201,1
10025,5252,0
10025,5532,0
10025,4225,0
10025,5147,0
10025,4723,0
10025,3057,0
10025,6597,0
10025,4425,0
10025,5866,0
10026,12723,0
10026,15446,0
10026,6411,0
10026,14682,0
10026,14084,0
10026,15901,0
10026,15903,0
10026,14717,0
10026,11754,0
10026,12141,0
10027,14928,0
10027,14929,0
10027,8210,0
10027,7574,0
10027,11265,0
10027,10160,0
10027,14927,0
10027,6475,0
10027,10850,0
10028,7770,0
10028,7564,0
10028,11757,0
10028,7678,0
10028,13652,0
10028,14,0
10028,15807,0
10028,1815,0
10028,1297,0
10028,12446,0
10029,8043,2
10029,926,0
10029,10483,0
10029,128,0
10029,2211,0
10029,3116,0
10029,2323,0
10029,5152,0
10029,5008,0
10029,8421,0
1003,92,6
1003,1220,4
1003,39,3
1003,693,1
1003,1534,1
1003,2268,1
1003,6666,0
1003,6154,0
1003,5440,0
1003,453,0
10030,6373,0
10030,12660,0
10030,16224,0
10030,6838,0
10030,2136,0
10030,12917,0
10030,16930,0
10030,6544,0
10030,14823,0
10030,14575,0
10031,278,0
10031,14793,0
10031,9872,0
10031,16785,0
10031,2564,0
10031,11350,0
10031,1134,0
10031,8317,0
10031,16730,0
10031,15604,0
10032,9659,0
10032,5082,0
10032,4698,0
10032,5364,0
10032,3401,0
10032,4590,0
10032,3232,0
10032,4424,0
10032,8285,0
10032,15756,0
10033,9698,0
10033,2965,0
10033,15224,0
10033,7586,0
10033,15271,0
10033,969,0
10033,14772,0
10033,9236,0
10033,1724,0
10033,6896,0
10034,4209,0
10034,5649,0
10034,10264,0
10034,4948,0
10034,5351,0
10034,15312,0
10034,3806,0
10034,1170,0
10034,16112,0
10034,16517,0
10035,8173,0
10035,6345,0
10035,1149,0
10035,14076,0
10035,5129,0
10035,11310,0
10035,3815,0
10035,11140,0
10035,12736,0
10035,4290,0
10036,17113,0
10036,16072,0
10036,14987,0
10036,12427,0
10036,11396,0
10036,9674,0
10036,16958,0
10036,8985,0
10036,16268,0
10036,16019,0
10037,8107,1
10037,4472,1
10037,8317,1
10037,9184,1
10037,9802,1
10037,7613,1
10037,16256,0
10037,15900,0
10037,12179,0
10037,13859,0
10038,9214,0
10038,4648,0
10038,4356,0
10038,11668,0
10038,11667,0
10038,6932,0
10038,5884,0
10038,8340,0
10038,2979,0
10038,6375,0
10039,9485,0
10039,10833,0
10039,11737,0
10039,12406,0
10039,12753,0
10039,13192,0
10039,14385,0
10039,15284,0
10039,14534,0
10039,6019,0
1004,243,3
1004,400,3
1004,5745,3
1004,145,2
1004,231,2
1004,8,1
1004,763,1
1004,868,1
1004,20,1
1004,119,1
10040,9485,0
10040,10833,0
10040,11737,0
10040,12406,0
10040,12753,0
10040,13192,0
10040,14385,0
10040,10039,0
10040,15284,0
10040,14534,0
10041,11105,0
10041,13447,0
10041,9275,0
10041,15098,0
10041,9274,0
10041,5546,0
10041,14386,0
10041,4697,0
10042,15449,0
10042,16203,0
10042,11205,0
10042,12397,0
10042,7226,0
10042,9726,0
10042,6669,0
10042,13379,0
10042,5754,0
10042,9275,0
10043,8405,0
10043,9555,0
10043,10136,0
10043,1157,0
10043,10568,0
10043,10924,0
10043,11575,0
10043,15274,0
10043,2986,0
10043,12154,0
10045,13442,0
10045,6531,0
10045,16632,0
10045,13486,0
10045,9721,0
10045,13402,0
10045,11006,0
10045,11520,0
10045,12596,0
10045,5302,0
10046,7688,0
10046,2716,0
10046,15174,0
10046,2870,0
10046,6068,0
10046,2842,0
10046,5219,0
10046,1253,0
10046,3683,0
10046,6067,0
10047,12793,1
10048,4065,0
10048,752,0
10048,7326,0
10048,10187,0
10048,6393,0
10048,4670,0
10048,14181,0
10048,15498,0
10048,3595,0
10048,11181,0
10049,15070,0
10049,15464,0
10049,16425,0
10049,16440,0
10049,16435,0
10049,16447,0
10049,12998,0
10049,14328,0
10049,15470,0
10049,12994,0
1005,400,47
1005,4768,28
1005,6494,17
1005,70,11
1005,2151,10
1005,675,9
1005,105,7
1005,763,7
1005,1433,7
1005,64,6
1005,1095,6
1005,652,6
1005,2473,6
1005,2369,6
1005,646,5
1005,106,3
1005,1057,3
1005,73,3
1005,1188,3
1005,13751,3
1005,1020,2
1005,459,2
1005,1304,2
1005,780,2
1005,2123,2
1005,2701,2
1005,1299,2
1005,6025,2
1005,1375,1
1005,34,1
1005,210,1
1005,1048,1
1005,145,1
1005,638,1
1005,338,1
1005,1001,1
1005,89,1
1005,975,1
1005,1126,1
1005,1314,1
1005,277,1
1005,530,1
1005,2122,1
1005,27,1
1005,2070,1
1005,693,1
1005,1663,1
1005,5,1
1005,2391,1
1005,2878,1
1005,3094,1
1005,933,1
1005,647,1
1005,461,1
1005,5353,1
1005,5095,1
1005,1584,1
1005,1392,1
1005,7794,1
1005,13078,1
1005,2682,1
1005,8988,1
1005,3094,1
1005,933,1
1005,647,1
1005,461,1
1005,5353,1
1005,5095,1
1005,1584,1
1005,1392,1
1005,7794,1
1005,13078,1
10050,15070,0
10050,15464,0
10050,16425,0
10050,16440,0
10050,16435,0
10050,16447,0
10050,12998,0
10050,14328,0
10050,15470,0
10050,12994,0
10053,10707,0
10053,5696,0
10053,11026,0
10053,12522,0
10053,12383,0
10053,16307,0
10053,10680,0
10053,16196,0
10053,12380,0
10053,16426,0
10054,10789,0
10054,14526,0
10054,15383,0
10054,3283,0
10054,10038,0
10054,12679,0
10054,6892,0
10054,7311,0
10054,8240,0
10054,9214,0
10055,16230,0
10055,1560,0
10055,11384,0
10055,9667,0
10055,11386,0
10055,11382,0
10055,11385,0
10055,11383,0
10055,11387,0
10055,406,0
10056,16230,0
10056,1560,0
10056,11384,0
10056,9667,0
10056,11386,0
10056,11382,0
10056,11385,0
10056,11383,0
10056,11387,0
10056,406,0
10059,4801,0
10059,16628,0
10059,1560,0
10059,11384,0
10059,9667,0
10059,10076,0
10059,11386,0
10059,11382,0
10059,11385,0
10059,10056,0
1006,281,1
1006,759,0
1006,6066,0
1006,1347,0
1006,8446,0
1006,2209,0
1006,12026,0
1006,4237,0
1006,3126,0
1006,1774,0
10060,9407,0
10060,14249,0
10060,3864,0
10060,4041,0
10060,4008,0
10060,3870,0
10060,6533,0
10060,5882,0
10060,10870,0
10060,4121,0
10061,4321,0
10061,9611,0
10061,9443,0
10061,8355,0
10061,8377,0
10061,4288,0
10061,6616,0
10061,12974,0
10061,16301,0
10061,10761,0
10063,9485,0
10063,10833,0
10063,11737,0
10063,12406,0
10063,12753,0
10063,13192,0
10063,14385,0
10063,10039,0
10063,15284,0
10063,14534,0
10066,14451,0
10066,14450,0
10066,13460,0
10066,11462,0
10066,10080,0
10066,10082,0
10066,10081,0
10066,10079,0
10066,14122,0
10066,13486,0
10067,462,0
10067,7718,0
10067,7155,0
10067,1673,0
10067,12901,0
10067,4240,0
10067,2228,0
10067,1007,0
10067,12933,0
10067,1918,0
10068,13996,0
10068,8031,0
10068,5632,0
10068,15216,0
10068,15431,0
10068,9181,0
10068,13390,0
10068,16443,0
10068,15448,0
10068,16923,0
10069,7386,0
10069,4081,0
10069,7388,0
10069,7393,0
10069,7383,0
10069,7384,0
10069,7385,0
10069,7390,0
10069,7389,0
10069,7391,0
1007,1053,6
1007,2063,5
1007,1254,4
1007,1073,3
1007,475,3
1007,316,2
1007,550,2
1007,934,2
1007,1200,2
1007,5,2
1007,54,2
1007,3288,2
1007,104,1
1007,462,1
1007,543,1
1007,13,1
1007,425,1
1007,1304,1
1007,1207,1
1007,1532,1
1007,1663,1
1007,1533,1
1007,2953,1
1007,539,1
1007,3098,1
1007,5543,1
1007,54,2
1007,3288,2
1007,104,1
1007,462,1
1007,543,1
1007,13,1
1007,425,1
1007,1304,1
1007,1207,1
1007,1532,1
10070,14357,0
10070,12952,0
10070,14273,0
10070,3102,0
10070,11781,0
10070,5010,0
10070,5946,0
10070,9267,0
10070,16163,0
10070,15925,0
10071,9448,0
10071,13339,0
10071,13341,0
10071,12027,0
10071,9445,0
10071,9444,0
10071,8732,0
10071,7364,0
10071,9378,0
10071,5284,0
10072,13817,0
10072,6160,0
10072,6152,0
10072,11202,0
10072,6153,0
10072,6162,0
10072,6165,0
10072,6163,0
